name,group,type,value_set,format,possible_if,db_required,neris_core,neris_core_if,neris_core_aid,computed,computed_from,cardinality,map_orm_landing,map_app,definition,example,comments
fire_suppression_appliance,fire,Array[Text],TRUE,See type_suppress_appliance.value,,FALSE,TRUE,,,FALSE,,Multi,rel_fire_suppr_appliance.type_suppr_appliance joined via rel_fire_suppr_appliance.nuid_fire,,Describes the appliances used for suppression.,See type_suppress_appliance table,
fire_water_supply,fire,Text,TRUE,See type_water_supply.value,,FALSE,TRUE,if suppression_appliance is none,,FALSE,,Single,fire.type_water_supply,,Describes the type of water supply utilized for the incident.,See type_water_supply table,
fire_investigation_need,fire,Text,TRUE,See type_fire_invest_need.value,,TRUE,TRUE,,,FALSE,,Single,fire.type_fire_invest_need,,Assessment by incident commander and/or officer in charge of the incident as to whether the fire necessitated a formal fire investigation.,See type_fire_invest_need table,
fire_investigation_type,fire,Array[Text],TRUE,See type_fire_invest.value,,TRUE,TRUE,formal cause and origin investigation was completed at the incident,,FALSE,,Multi,rel_fire_invest.type_fire_invest joined via rel_fire_invest.nuid_fire,,Categorizes the general type of investigation completed at the structure fire incident.,See type_fire_invest table,Allow for multiple selections then require incident analysis/investigation model to be completed for formal information about the fire.
structure_arrival_conditions,structure,Text,TRUE,See type_fire_condition_arrival.value,type_incident.value_2 array contains 'STRUCTURE_FIRE',TRUE,TRUE,if fire subtype is not outside fire,,FALSE,,Single,fire_sub_structure.type_fire_condition_arrival,,Fire conditions upon arriving on the scene of the incident.,See type_fire_condition_arrival table,
structure_progression_conditions,structure,Boolean,FALSE,,type_incident.value_2 array contains 'STRUCTURE_FIRE',FALSE,TRUE,if fire subtype is not outside fire,,FALSE,,Single,fire_sub_structure.progression_conditions,,Whether the fire extended beyond the conditions found upon arrival.,"""True""",
structure_damage,structure,Text,TRUE,See type_fire_bldg_damage.value,type_incident.value_2 array contains 'STRUCTURE_FIRE',TRUE,TRUE,if fire subtype is not outside fire,,FALSE,,Single,fire_sub_structure.type_fire_bldg_damage,,Rating of damage to the fire building of origin as selected from a list of values.,See type_fire_bldg_damage table,
structure_floor_of_origin,structure,Integer,FALSE,,type_incident.value_2 array contains 'STRUCTURE_FIRE',TRUE,TRUE,if fire subtype is not outside fire,,FALSE,,Single,fire_sub_structure.origin_floor,,Story above or below ground of fire origin.,1,"Negative integer is below ground, positive is above ground. 1 is ground floor."
structure_room_of_origin,structure,Text,TRUE,See type_room.value,type_incident.value_2 array contains 'STRUCTURE_FIRE',TRUE,TRUE,if fire subtype is not outside fire,,FALSE,,Single,fire_sub_structure.type_origin_room,,Room of origin of the fire.,See type_room table,
structure_fire_cause,structure,Text,TRUE,See type_fire_cause_in.value,type_incident.value_2 array contains 'STRUCTURE_FIRE',TRUE,TRUE,if fire subtype is not outside fire,,FALSE,,Single,fire_sub_structure.type_fire_cause_in,,General categorization of the cause (or likely cause) of the structure fire.,See type_fire_cause_in table,
outside_fire_cause,outdoor,Text,TRUE,See type_fire_cause_out.value,type_incident.value_2 array contains 'OUTSIDE_FIRE',TRUE,FALSE,if fire subtype is outside fire,,FALSE,,Single,fire_sub_outside.type_fire_cause_out,,General categorization of the cause (or likely cause) of the outdoor fire.,See type_fire_cause_out table,
outside_fire_acres_burned,outdoor,Float,FALSE,single-precision floating-point number,type_incident.value_2 array contains 'OUTSIDE_FIRE',FALSE,TRUE,if fire subtype is outside fire,,FALSE,,Single,fire_sub_outside.acres_burned,,Estimated number of acres burned during the incident.,0.5,
