name,type,group,possible_if,db_required,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
inspection_id,Integer,inspection,,,True,Internally-generated,Single,False,,NERIS-generated unique identifier for the inspection.,,
date,Datetime (UTC),inspection,,,False,,Single,False,,Date of inspection.,2024-08-01 00:00:00,
location,Module,parcel,,,False,,Single,True,mod_civic_location,Address of the parcel (see civic location),See mod_civic_location,
location_use,Array[Text],parcel,,,False,,Multi,True,type_location_use,Location use of primary structure.,See type_location_use,
units_in_structure,Integer,structure,multi_unit = TRUE,,False,,Single,False,,Number of units within the structure.,3,
vacant_status,Boolean,parcel,,,False,,Single,False,,Whether the residence is vacant.,False,
vacancy_type,Array[Text],parcel,vacant_status = TRUE,,False,,Single,True,type_vacancy,Type of vacancy of residence.,Abandoned,
year_built,Integer,structure,,,False,,Single,False,,Year that the primary structure on the parcel was built.,2001,
building_area,Integer,structure,,,False,,Single,False,,Square footage of the primary structure on the parcel in square feet.,2200,
stories,Integer,structure,,,False,,Single,False,,Number of above-ground stories in the primary structure.,3,
basement,Boolean,structure,,,False,,Single,False,,Whether a basement is present.,True,
construction,Array[Text],structure,,,False,,Single,True,type_construction,Construction type of the structure.,See type_construction,
roof_material,Array[Text],structure,,,False,,Single,True,type_roof_material,Roof material of the structure.,See type_roof_material,
solar_panels,Boolean,structure,,,False,,Single,False,,Whether solar panels are installed on the roof.,,
risk_reduction_alarms,Module,structure,,,False,,Single,True,mod_risk_reduction,Fire protection and risk reduction factors present.,See mod_risk_reduction,
reinspection_required,Boolean,inspection,,,False,,Single,False,,Whether a reinspection will be required following completion.,False,
eaves,Array[Text],structure,,,False,,Single,True,type_eaves,Eave type observed on the structure.,See type_eaves,
vent_screen,Array[Text],structure,,,False,,Multi,True,type_vents,Vent/screen type observed on the structure.,See type_vents,
exterior_finish,Array[Text],structure,,,False,,Single,True,type_exterior_finish,Exterior finish of the structure.,See type_finish,
window_panes,Array[Text],structure,,,False,,Single,True,type_window_panes,Window pane type observed on the structure.,See type_windows,
hurricane_clips,Boolean,structure,,,False,,Single,False,,Whether the structure is fitted with hurricane clips.,,
tornado_safe_room,Boolean,structure,,,False,,Single,False,,Whether the structure is fitted with a tornado shelter room.,,
outbuildings,Integer,parcel,,,False,,Single,False,,Number of outbuildings observed on the parcel.,3,
deck_porch_grade,Array[Text],parcel,,,False,,Multi,True,type_deck_porch_grade,"Grade of deck or porch, if one was observed.",See type_deck_porch_grade,
deck_porch_material,Array[Text],parcel,deck_porch_grade != No Deck Present,,False,,Multi,True,type_deck_porch_material,"Material of deck or porch, if one was observed.",See type_deck_porch_material,
attached_addition,Array[Text],parcel,,,False,,Multi,True,type_attached,"Type of attached addition or modification, if one was observed.",See type_attached,
attached_addition_materials,Array[Text],parcel,attached_addition != None,,False,,Multi,True,type_attached_material,Material of attached addition.,See type_attached_material,
distance_to_nearest_structure,Float,parcel,,,False,,Single,False,,Distance to nearest structure.,100,
distance_unit,Array[Text],parcel,,,False,,Single,True,type_distance_unit,Unit type of measured distance to nearest structure.,feet,
assessed_value,Integer,parcel,,,False,,Single,False,,Assessed dollar amount of structure.,300000,
